English (for reference),Spanish,Cantonese (Traditional Chinese),Mandarin (Simplified Chinese),Filipino (Tagalog),Vietnamese,Russian
Medication name   Dosing   Frequency,Nombre del medicamento ____  Dosis ____  Frecuencia  ____ ,藥物名稱  ____ 劑量  ____ 次數/頻率 ____ ,药物名称 ____  剂量  ____ 次数/频率 ____ ,Pangalan ng gamot ____  Dosis ____ Dalas ____ ,Tên thuốc ____  Liều lượng  ____ Tần suất ____ ,Название препарата  ____ Дозировка  ____ Частота ____ 
Medications to STOP: ____ ,Medicamentos para DETENER: ____ ,需要停止的藥物： ____ ,需要停止的药物： ____ ,Mga gamot na ITIGIL: ____ ,Các thuốc cần NGỪNG: ____ ,"Лекарства, которые нужно ПРЕКРАТИТЬ: ____ "
Medication dosing changes: ____ ,Cambios en la dosificación de medicamentos:,藥物劑量變更：,药物剂量变更：,Mga pagbabago sa dosis ng gamot: ,Thay đổi liều lượng thuốc: ,Изменения в дозировке лекарств:  
Medication name   Dosing   Frequency ,Nombre del medicamento ____  Dosis  ____ Frecuencia ____ ,藥物名稱  ____ 劑量  ____ 次數/頻率 ____ ,药物名称  ____ 剂量  ____ 次数/频率 ____ ,Pangalan ng gamot ____  Dosis  ____ Dalas ____ ,Tên thuốc  ____ Liều lượng  ____ Tần suất ____ ,Название препарата ____  Дозировка  ____ Частота ____ 
"The rest of your medications are unchanged, listed below:","El resto de sus medicamentos no cambian, y se enumeran a continuación: ____ ",您的其他藥物保持不變，列於下方： ____ ,其余的药物保持不变，列在下面： ____ ,"Ang iba mo pang mga gamot ay hindi nabago, nakalista sa ibaba: ____ ","Các thuốc còn lại của quý vị vẫn giữ nguyên, được liệt kê bên dưới: ____ ","Остальные ваши лекарства остаются без изменений, перечислены ниже: ____ "
Follow up,Seguimiento,後續檢查,后续就诊,Pagsubaybay,Tái khám / Theo dõi,Дальнейшее наблюдение
* Please follow up with your primary care provider within 1 week.,"Por favor, consulte con su proveedor de atención primaria dentro de 1 semana.",請在一週內與您的初級保健醫生跟進。,请在一周内与您的初级保健医生进行随访。,Mangyaring mag-follow up sa iyong primary care provider sa loob ng 1 linggo.,Vui lòng tái khám với bác sĩ chăm sóc chính trong vòng 1 tuần.,"Пожалуйста, обратитесь к своему лечащему врачу в течение 1 недели."
* Please follow up with the following specialists: _____ (consultants). Please call their office number to make an appointment…,"Por favor, consulte con los siguientes especialistas: _____ (consultants). Llame a su consultorio para programar una cita…",請與以下專科醫生跟進：_____ (consultants)。請致電他們的診所預約或確認是否已預約。,请与以下专科医生进行随访：_____ (consultants)。请致电他们的诊所预约或确认是否已预约。,Mangyaring mag-follow up sa mga sumusunod na espesyalista: _____ (consultants). Mangyaring tawagan ang kanilang opisina…,Vui lòng tái khám với các bác sĩ chuyên khoa sau: _____ (consultants). Vui lòng gọi đến văn phòng của họ…,"Пожалуйста, обратитесь к следующим специалистам: _____ (consultants). Позвоните в их офис…"
Return precautions:,Precauciones de regreso:,回診注意事項：,回诊注意事项：,Mga pag-iingat sa pagbabalik:,Các lưu ý khi quay lại khám:,Рекомендации при возвращении на прием:
Please contact your primary care provider or return to the emergency room for the following: _____ (return precautions),"Por favor, comuníquese con su proveedor de atención primaria o regrese a la sala de emergencias por lo siguiente: _____ (return precautions)",如出現以下情況，請聯絡您的初級保健醫生或回到急診室：_____ (return precautions),如出现以下情况，请联系您的初级保健医生或回到急诊室：_____ (return precautions),Mangyaring makipag-ugnayan sa iyong primary care provider o bumalik sa emergency room para sa mga sumusunod: _____ (return precautions),Vui lòng liên hệ với bác sĩ chăm sóc chính hoặc quay lại phòng cấp cứu nếu có những điều sau: _____ (return precautions),"Пожалуйста, свяжитесь с вашим лечащим врачом или обратитесь в отделение неотложной помощи при следующем: _____ (return precautions)"
Please contact the hospital team or your primary care physician for further questions or concerns.,"Por favor, comuníquese con el equipo del hospital o con su médico de atención primaria si tiene más preguntas o inquietudes.",如有進一步問題或疑慮，請聯繫醫院團隊或您的初級保健醫生。,如有更多疑问或顾虑，请联系医院团队或您的初级保健医生。,Mangyaring kontakin ang hospital team o ang iyong primary care physician para sa iba pang katanungan o alalahanin.,Vui lòng liên hệ với nhóm y tế bệnh viện hoặc bác sĩ chăm sóc chính của quý vị nếu có thêm câu hỏi hay lo lắng.,"Пожалуйста, свяжитесь с больничной командой или вашим лечащим врачом при возникновении дополнительных вопросов или беспокойств."
It has been a pleasure taking care of you.,Ha sido un placer atenderlo(a).,很高興能為您提供照顧。,很高兴能够为您提供照护。,Ikinagagalak naming alagaan ka.,Chúng tôi rất vui được chăm sóc cho quý vị.,Для нас было удовольствием заботиться о вас.
UCSF St. Mary’s Internal Medicine Team,Equipo de Medicina Interna de UCSF St. Mary’s,UCSF St. Mary’s 內科團隊,UCSF St. Mary’s 内科团队,Koponan ng Internal Medicine ng UCSF St. Mary’s,Nhóm Nội khoa UCSF St. Mary’s,Команда отделения внутренней медицины UCSF St. Mary’s
(Please see attached document for translation of this discharge instruction),"(Por favor, consulte el documento adjunto para la traducción de estas instrucciones de alta)",（請參閱附件以獲取本出院指示的翻譯）,（请参阅附件以获取本出院指示的翻译）,(Pakitingnan ang nakalakip na dokumento para sa pagsasalin ng mga tagubilin sa paglabas na ito),(Vui lòng xem tài liệu đính kèm để xem bản dịch của hướng dẫn xuất viện này),"(Пожалуйста, см. прилагаемый документ для перевода этих инструкций по выписке)"
