"English","Spanish","Cantonese (Traditional)","Mandarin (Simplified)","Filipino (Tagalog)","Vietnamese","Russian"
"* Seizures or unusual jerking/twitching not previously experienced.","* Convulsiones o movimientos bruscos/espasmos inusuales que no se habían presentado antes.","* 出現以往沒有過的癲癇發作或不尋常的抽動/抖動。","* 出现以前没有过的癫痫发作或异常抽动/抖动。","* Mga seizure o kakaibang panginginig/paggalaw na hindi mo naranasan noon.","* Co giật hoặc giật/twitch bất thường chưa từng có trước đây.","* Судороги или необычные подергивания/спазмы, которых ранее не было."
"* Severe Headache that is new, or different in character/intensity from prior headaches.","* Dolor de cabeza intenso que sea nuevo o diferente en carácter/intensidad de dolores de cabeza anteriores.","* 嚴重的頭痛新出現，或在性質/強度上與以往的頭痛不同。","* 新出现的严重头痛，或在性质/强度上与以往头痛不同。","* Matinding pananakit ng ulo na bago o iba ang karakter/intensidad kumpara sa dati.","* Đau đầu dữ dội mới, hoặc khác về tính chất/cường độ so với những cơn đau đầu trước đây.","* Новая сильная головная боль или отличающаяся по характеру/интенсивности от предыдущих."
"GI","GI","GI","GI","GI","GI","GI"
"* Severe or Persistent Nausea/Vomiting, or inability to Keep Down Fluids or solids.","* Náuseas/vómitos intensos o persistentes, o incapacidad de retener líquidos o alimentos sólidos.","* 嚴重或持續的噁心/嘔吐，或無法保留液體或固體食物。","* 严重或持续的恶心/呕吐，或无法保留液体或固体食物。","* Matinding o tuloy-tuloy na pagduduwal/pagsusuka, o kawalan ng kakayahang panatilihin ang anumang likido o solidong pagkain.","* Buồn nôn/nôn nghiêm trọng hoặc kéo dài, hoặc không thể giữ nước hoặc thức ăn đặc.","* Сильная или продолжительная тошнота/рвота либо неспособность удерживать жидкости или твердую пищу."
"* Severe or worsening abdominal pain","* Dolor abdominal intenso o que empeora","* 嚴重或加劇的腹痛","* 严重或加重的腹痛","* Matinding o lumalalang pananakit ng tiyan","* Đau bụng dữ dội hoặc nặng hơn","* Сильная или усиливающаяся боль в животе"
"Wound / post op","Wound / post op","Wound / post op","Wound / post op","Wound / post op","Wound / post op","Wound / post op"
"* Bleeding from a surgical site that doesn’t stop with gentle pressure.","* Sangrado en el sitio quirúrgico que no se detiene con presión suave.","* 手術部位出血，輕壓無法止血。","* 手术部位出血，轻压无法止血。","* Pagdurugo mula sa operasyong hiwa na hindi tumitigil kahit banayad na presyon.","* Chảy máu từ vết mổ phẫu thuật không ngừng dù đã ấn nhẹ.","* Кровотечение в области хирургического вмешательства, которое не останавливается при легком надавливании."
"* Opening or Separation of incision edges.","* Apertura o separación de los bordes de la incisión.","* 手術切口裂開或分離。","* 手术切口裂开或分离。","* Pagkahiwalay o pagkabukas ng magkabilang gilid ng hiwa.","* Vết mổ bị hở hoặc tách mép.","* Расхождение (разделение) краев хирургического разреза."
"* Increased Swelling or Pain around the incision area, especially if accompanied by redness or warmth.","* Aumento de la hinchazón o del dolor alrededor de la incisión, especialmente si hay enrojecimiento o calor.","* 切口周圍的腫脹或疼痛加劇，尤其是伴隨紅腫或發熱時。","* 切口周围的肿胀或疼痛加重，尤其是伴随红肿或发热时。","* Nadagdagang pamamaga o pananakit sa paligid ng hiwa, lalo na kung may pamumula o init.","* Tăng sưng hoặc đau quanh vết mổ, đặc biệt nếu có đỏ hoặc nóng.","* Усиление отека или боли вокруг разреза, особенно при покраснении или ощущении жара."
"Psych","Psych","Psych","Psych","Psych","Psych","Psych"
"* Suicidal thoughts or severe depression, anxiety, or panic that is escalating.","* Pensamientos suicidas o depresión, ansiedad o pánico severos que están empeorando.","* 自殺念頭或嚴重的憂鬱、焦慮或恐慌加劇。","* 自杀念头或严重的抑郁、焦虑或恐慌加重。","* Mga pag-iisip na magpakamatay o matinding depresyon, pagkabalisa, o pag-atake ng gulat na lumalala.","* Ý nghĩ tự tử hoặc trầm cảm, lo âu hay hoảng loạn nghiêm trọng đang trở nên tồi tệ hơn.","* Суицидальные мысли либо нарастающая тяжелая депрессия, тревога или паника."
"General","General","General","General","General","General","General"
"* worsening of general condition","* Empeoramiento de la condición general","* 整體狀況惡化","* 整体状况恶化","* Paglala ng pangkalahatang kondisyon","* Tình trạng chung xấu đi","* Ухудшение общего состояния"
